,Cuestionario:Tema 1 - Parte Básica (Real),Cuestionario:Tema 2 - Parte Básica (Real),Cuestionario:Tema 3 - Parte Básica (Real),Cuestionario:Tema 1 - Parte Avanzada (Real),Cuestionario:Tema 2 - Parte Avanzada (Real),Cuestionario:Tema 3 - Parte Avanzada (Real),comision
250,-,-,-,-,-,-,datos_anonimizados
251,2.0,3.0,3.0,1.08,1.0,2.0,datos_anonimizados
252,2.0,2.4,1.67,1.75,0.0,-,datos_anonimizados
253,3.0,2.0,2.0,4.0,2.75,0.0,datos_anonimizados
254,0.0,0.2,0.83,-,-,-,datos_anonimizados
255,1.0,2.0,1.5,-,1.0,-,datos_anonimizados
256,-,-,-,-,-,-,datos_anonimizados
257,0.0,0.0,0.25,-,-,-,datos_anonimizados
258,3.0,2.0,2.5,4.0,3.0,2.5,datos_anonimizados
259,-,-,-,-,-,-,datos_anonimizados
260,3.0,0.0,1.0,2.83,-,-,datos_anonimizados
261,2.0,1.0,2.0,1.75,-,2.0,datos_anonimizados
262,1.0,0.0,1.0,-,-,-,datos_anonimizados
263,0.0,0.0,0.83,-,-,-,datos_anonimizados
264,2.5,1.4,3.0,2.0,-,2.5,datos_anonimizados
265,-,-,-,-,-,-,datos_anonimizados
266,0.0,1.0,1.33,-,-,-,datos_anonimizados
267,1.5,0.5,0.0,-,-,-,datos_anonimizados
268,-,-,-,-,-,-,datos_anonimizados
269,3.0,3.0,3.0,3.0,2.0,4.0,datos_anonimizados
270,0.0,-,-,-,-,-,datos_anonimizados
271,0.0,0.0,0.5,-,-,-,datos_anonimizados
272,3.0,1.0,2.5,2.42,-,3.0,datos_anonimizados
273,1.0,0.0,0.0,-,-,-,datos_anonimizados
274,1.0,1.0,0.33,-,-,-,datos_anonimizados
275,2.0,0.8,2.0,4.0,-,0.0,datos_anonimizados
276,3.0,3.0,2.0,3.5,3.0,2.0,datos_anonimizados
277,1.0,2.0,2.0,-,0.25,0.0,datos_anonimizados
278,-,-,-,-,-,-,datos_anonimizados
279,1.0,-,-,-,-,-,datos_anonimizados
280,3.0,1.0,3.0,3.75,-,2.75,datos_anonimizados
281,0.0,-,-,-,-,-,datos_anonimizados
282,3.0,2.0,0.75,-,-,-,datos_anonimizados
283,0.0,1.1,0.33,-,-,-,datos_anonimizados
284,-,-,-,-,-,-,datos_anonimizados
285,2.0,2.6,2.83,1.33,1.75,4.0,datos_anonimizados
286,0.0,0.0,0.5,-,-,-,datos_anonimizados
287,3.0,3.0,3.0,3.0,3.25,4.0,datos_anonimizados
288,-,-,-,-,-,-,datos_anonimizados
289,2.0,2.0,1.0,2.08,0.75,-,datos_anonimizados
290,2.0,3.0,3.0,2.0,0.5,4.0,datos_anonimizados
291,2.0,2.0,3.0,3.33,1.0,2.0,datos_anonimizados
292,1.0,3.0,1.0,-,2.0,-,datos_anonimizados
293,3.0,3.0,1.0,3.42,2.0,-,datos_anonimizados
294,0.0,0.0,0.17,-,-,-,datos_anonimizados
295,2.0,1.0,1.67,2.25,-,-,datos_anonimizados
296,0.0,1.0,0.75,-,-,-,datos_anonimizados
